policy,coverage,selective_risk
confidence_plus_reconciliation,0.56,0.4642857142857143
confidence_plus_reconciliation,0.57,0.47368421052631576
confidence_plus_reconciliation,0.58,0.4827586206896552
confidence_plus_reconciliation,0.59,0.4915254237288136
confidence_plus_reconciliation,0.6,0.48333333333333334
confidence_plus_reconciliation,0.61,0.4918032786885246
confidence_plus_reconciliation,0.62,0.5
confidence_plus_reconciliation,0.63,0.5079365079365079
confidence_plus_reconciliation,0.64,0.515625
confidence_plus_reconciliation,0.65,0.5230769230769231
confidence_plus_reconciliation,0.66,0.5151515151515151
confidence_plus_reconciliation,0.67,0.5223880597014925
confidence_plus_reconciliation,0.68,0.5294117647058824
confidence_plus_reconciliation,0.69,0.5362318840579711
confidence_plus_reconciliation,0.7,0.5428571428571428
confidence_plus_reconciliation,0.71,0.5492957746478874
confidence_plus_reconciliation,0.72,0.5555555555555556
confidence_plus_reconciliation,0.73,0.5616438356164384
confidence_plus_reconciliation,0.74,0.5675675675675675
confidence_plus_reconciliation,0.75,0.5733333333333334
confidence_plus_reconciliation,0.76,0.5789473684210527
confidence_plus_reconciliation,0.77,0.5844155844155844
confidence_plus_reconciliation,0.78,0.5897435897435898
confidence_plus_reconciliation,0.79,0.5949367088607594
confidence_plus_reconciliation,0.8,0.6
confidence_plus_reconciliation,0.81,0.6049382716049383
confidence_plus_reconciliation,0.82,0.6097560975609756
confidence_plus_reconciliation,0.83,0.6144578313253012
confidence_plus_reconciliation,0.84,0.6190476190476191
confidence_plus_reconciliation,0.85,0.611764705882353
confidence_plus_reconciliation,0.86,0.6046511627906976
confidence_plus_reconciliation,0.87,0.6091954022988506
confidence_plus_reconciliation,0.88,0.6022727272727273
confidence_plus_reconciliation,0.89,0.6067415730337079
confidence_plus_reconciliation,0.9,0.6111111111111112
confidence_plus_reconciliation,0.91,0.6153846153846154
confidence_plus_reconciliation,0.92,0.6195652173913043
confidence_plus_reconciliation,0.93,0.6236559139784946
confidence_plus_reconciliation,0.94,0.6276595744680851
confidence_plus_reconciliation,0.95,0.631578947368421
confidence_plus_reconciliation,0.96,0.6354166666666666
confidence_plus_reconciliation,0.97,0.6391752577319587
confidence_plus_reconciliation,0.98,0.6428571428571429
confidence_plus_reconciliation,0.99,0.6464646464646465
confidence_plus_reconciliation,1.0,0.65
rfdi_composite_risk,0.01,1.0
rfdi_composite_risk,0.02,0.5
rfdi_composite_risk,0.03,0.3333333333333333
rfdi_composite_risk,0.04,0.25
rfdi_composite_risk,0.05,0.4
rfdi_composite_risk,0.06,0.3333333333333333
rfdi_composite_risk,0.07,0.2857142857142857
rfdi_composite_risk,0.08,0.25
rfdi_composite_risk,0.09,0.2222222222222222
rfdi_composite_risk,0.1,0.2
rfdi_composite_risk,0.11,0.18181818181818182
rfdi_composite_risk,0.12,0.25
rfdi_composite_risk,0.13,0.23076923076923078
rfdi_composite_risk,0.14,0.2857142857142857
rfdi_composite_risk,0.15,0.26666666666666666
rfdi_composite_risk,0.16,0.25
rfdi_composite_risk,0.17,0.29411764705882354
rfdi_composite_risk,0.18,0.3333333333333333
rfdi_composite_risk,0.19,0.3157894736842105
rfdi_composite_risk,0.2,0.3
rfdi_composite_risk,0.21,0.2857142857142857
rfdi_composite_risk,0.22,0.3181818181818182
rfdi_composite_risk,0.23,0.34782608695652173
rfdi_composite_risk,0.24,0.375
rfdi_composite_risk,0.25,0.36
rfdi_composite_risk,0.26,0.38461538461538464
rfdi_composite_risk,0.27,0.4074074074074074
rfdi_composite_risk,0.28,0.39285714285714285
rfdi_composite_risk,0.29,0.41379310344827586
rfdi_composite_risk,0.3,0.43333333333333335
rfdi_composite_risk,0.31,0.45161290322580644
rfdi_composite_risk,0.32,0.46875
rfdi_composite_risk,0.33,0.48484848484848486
rfdi_composite_risk,0.34,0.5
rfdi_composite_risk,0.35,0.5142857142857142
rfdi_composite_risk,0.36,0.5277777777777778
rfdi_composite_risk,0.37,0.5405405405405406
rfdi_composite_risk,0.38,0.5526315789473685
rfdi_composite_risk,0.39,0.5641025641025641
rfdi_composite_risk,0.4,0.575
rfdi_composite_risk,0.41,0.5853658536585366
rfdi_composite_risk,0.42,0.5952380952380952
rfdi_composite_risk,0.43,0.6046511627906976
rfdi_composite_risk,0.44,0.5909090909090909
rfdi_composite_risk,0.45,0.5777777777777777
rfdi_composite_risk,0.46,0.5652173913043478
rfdi_composite_risk,0.47,0.5531914893617021
rfdi_composite_risk,0.48,0.5416666666666666
rfdi_composite_risk,0.49,0.5306122448979592
rfdi_composite_risk,0.5,0.52
